Object,Room,Answer
curtain,no label,1
window,no label,1
chair,familyroom,1
window,living room,1
towel,bathroom,1
bathtub,no label,1
books,stairs,1
towel,rec/game,1
chair,hallway,1
chair,entryway/foyer/lobby,1
chair,stairs,1
chair,living room,1
board,no label,1
picture,kitchen,1
sofa,familyroom,1
dresser,rec/game,1
counter,kitchen,1
table,living room,1
mirror,balcony,1
television,bedroom,1
desk,bathroom,1
cabinet,bathroom,1
television,balcony,1
desk,balcony,1
bookcase,hallway,1
counter,bathroom,1
mirror,kitchen,1
table,stairs,1
bookcase,living room,1
mirror,bathroom,1
picture,no label,1
mirror,rec/game,1
picture,familyroom,1
counter,no label,1
bed,hallway,1
desk,rec/game,1
armchair,hallway,1
dresser,living room,1
bed,stairs,1
window,bedroom,1
nightstand,hallway,1
nightstand,entryway/foyer/lobby,1
table,bedroom,1
refrigerator,balcony,1
bed,living room,1
cushion,rec/game,1
nightstand,living room,1
clothes,familyroom,1
dresser,hallway,1
chair,bathroom,1
sink,hallway,1
chair,rec/game,1
dresser,stairs,1
sink,living room,1
whiteboard,familyroom,1
appliance,no label,1
books,entryway/foyer/lobby,1
towel,bedroom,1
towel,balcony,1
refrigerator,no label,1
nightstand,bedroom,1
dresser,kitchen,1
books,living room,1
whiteboard,stairs,1
table,rec/game,1
cabinet,kitchen,1
sofa,hallway,1
dresser,bathroom,1
dresser,bedroom,1
window,hallway,1
dresser,balcony,1
sofa,stairs,1
toilet,stairs,1
curtain,familyroom,1
bathtub,living room,1
sofa,living room,1
board,familyroom,1
armchair,rec/game,1
nightstand,bathroom,1
sink,kitchen,1
nightstand,rec/game,1
books,bedroom,1
curtain,hallway,1
desk,kitchen,1
bookcase,entryway/foyer/lobby,1
towel,no label,1
table,hallway,1
table,entryway/foyer/lobby,1
window,stairs,1
sink,bathroom,1
cushion,kitchen,1
desk,familyroom,1
cabinet,familyroom,1
armchair,entryway/foyer/lobby,1
counter,familyroom,1
bed,entryway/foyer/lobby,1
toilet,bedroom,1
toilet,balcony,1
chair,kitchen,1
books,bathroom,1
cushion,bedroom,1
books,rec/game,1
mirror,familyroom,1
desk,no label,1
cabinet,no label,1
cabinet,living room,1
dresser,entryway/foyer/lobby,1
chair,bedroom,1
television,familyroom,1
chair,balcony,1
toilet,rec/game,1
board,bedroom,1
mirror,no label,1
bathtub,bathroom,1
bathtub,balcony,1
sofa,rec/game,1
table,balcony,1
clothes,no label,1
table,kitchen,1
picture,hallway,1
clothes,living room,1
picture,stairs,1
counter,stairs,1
bookcase,bathroom,1
bookcase,bedroom,1
picture,living room,1
bathtub,rec/game,1
bookcase,balcony,1
window,rec/game,1
table,bathroom,1
armchair,kitchen,1
toilet,hallway,1
chair,no label,1
curtain,rec/game,1
sofa,entryway/foyer/lobby,1
whiteboard,entryway/foyer/lobby,1
bed,bathroom,1
bed,bedroom,1
bed,balcony,1
bookcase,rec/game,1
nightstand,balcony,1
appliance,hallway,1
nightstand,kitchen,1
window,entryway/foyer/lobby,1
picture,bedroom,1
curtain,living room,1
bathtub,hallway,1
armchair,familyroom,1
towel,familyroom,1
sink,bedroom,1
bed,rec/game,1
refrigerator,stairs,1
nightstand,familyroom,1
sink,balcony,1
clothes,balcony,1
board,stairs,1
books,balcony,1
books,kitchen,1
nightstand,no label,1
sofa,kitchen,1
whiteboard,bedroom,1
whiteboard,balcony,1
appliance,bedroom,1
whiteboard,kitchen,1
books,familyroom,1
sofa,bedroom,1
sofa,balcony,1
bathtub,kitchen,1
window,kitchen,1
whiteboard,bathroom,1
picture,entryway/foyer/lobby,1
books,no label,1
curtain,bathroom,1
curtain,bedroom,1
window,bathroom,1
counter,living room,1
window,balcony,1
whiteboard,no label,1
bookcase,kitchen,1
mirror,hallway,1
cushion,familyroom,1
television,entryway/foyer/lobby,1
television,hallway,1
board,kitchen,1
desk,stairs,1
mirror,living room,1
television,living room,1
bed,kitchen,1
table,familyroom,1
mirror,stairs,1
cabinet,bedroom,1
cabinet,balcony,1
counter,bedroom,1
bookcase,no label,1
refrigerator,hallway,1
refrigerator,entryway/foyer/lobby,1
table,no label,1
mirror,bedroom,1
refrigerator,living room,1
desk,bedroom,1
cabinet,rec/game,1
bed,no label,1
armchair,no label,1
bathtub,entryway/foyer/lobby,1
armchair,living room,1
picture,bathroom,1
television,kitchen,1
picture,balcony,1
counter,balcony,1
towel,hallway,1
towel,entryway/foyer/lobby,1
clothes,bedroom,1
dresser,no label,1
television,bathroom,1
refrigerator,bedroom,1
dresser,familyroom,1
appliance,kitchen,1
picture,rec/game,1
counter,rec/game,1
refrigerator,kitchen,1
appliance,bathroom,1
toilet,bathroom,1
appliance,balcony,1
desk,hallway,1
desk,entryway/foyer/lobby,1
refrigerator,bathroom,1
cabinet,entryway/foyer/lobby,1
refrigerator,rec/game,1
cabinet,hallway,1
counter,entryway/foyer/lobby,1
cabinet,stairs,1
toilet,no label,1
plant,living room,1
sofa,no label,1
appliance,familyroom,1
window,familyroom,1
desk,living room,1
armchair,bedroom,1
mirror,entryway/foyer/lobby,1
armchair,balcony,1
cushion,no label,1
cushion,living room,1
clothes,entryway/foyer/lobby,1
