Object,Room,Answer
whiteboard,rec/game,0
hairbrush,living room,0
water bottle,living room,0
plant,familyroom,0
wristwatch,bathroom,0
wristwatch,rec/game,0
playing cards,no label,0
playing cards,familyroom,0
phone,no label,0
bathtub,bedroom,0
curtain,balcony,0
jumprope,familyroom,0
tv remote,stairs,0
hairbrush,stairs,0
plant,hallway,0
dumbells,hallway,0
phone,familyroom,0
plant,stairs,0
television,stairs,0
dumbells,stairs,0
toothbrush,hallway,0
toothbrush,stairs,0
jumprope,living room,0
board,bathroom,0
toilet,entryway/foyer/lobby,0
board,rec/game,0
toothbrush,living room,0
wallet,rec/game,0
clothes,hallway,0
appliance,living room,0
water bottle,kitchen,0
clothes,stairs,0
tv remote,bedroom,0
jumprope,stairs,0
curtain,entryway/foyer/lobby,0
plant,bedroom,0
mug,familyroom,0
dumbells,bedroom,0
water bottle,bathroom,0
water bottle,balcony,0
toothbrush,bedroom,0
mug,no label,0
hairbrush,rec/game,0
television,rec/game,0
towel,living room,0
toilet,kitchen,0
wallet,hallway,0
wallet,stairs,0
toothbrush,rec/game,0
tv remote,hallway,0
tv remote,entryway/foyer/lobby,0
hairbrush,hallway,0
hairbrush,entryway/foyer/lobby,0
curtain,kitchen,0
tv remote,living room,0
plant,entryway/foyer/lobby,0
dumbells,entryway/foyer/lobby,0
wristwatch,familyroom,0
counter,hallway,0
wallet,kitchen,0
dumbells,living room,0
appliance,rec/game,0
toothbrush,entryway/foyer/lobby,0
wristwatch,no label,0
board,balcony,0
wallet,bedroom,0
wallet,balcony,0
wristwatch,living room,0
jumprope,hallway,0
jumprope,entryway/foyer/lobby,0
playing cards,stairs,0
phone,hallway,0
phone,stairs,0
appliance,entryway/foyer/lobby,0
phone,living room,0
hairbrush,kitchen,0
tv remote,bathroom,0
bookcase,familyroom,0
water bottle,entryway/foyer/lobby,0
tv remote,balcony,0
hairbrush,bathroom,0
hairbrush,balcony,0
toothbrush,kitchen,0
plant,bathroom,0
dumbells,bathroom,0
plant,balcony,0
dumbells,balcony,0
playing cards,bedroom,0
headphones,hallway,0
headphones,entryway/foyer/lobby,0
bed,familyroom,0
wallet,entryway/foyer/lobby,0
jumprope,bedroom,0
jumprope,balcony,0
water bottle,no label,0
toothbrush,bathroom,0
mug,living room,0
jumprope,kitchen,0
toothbrush,balcony,0
headphones,living room,0
headphones,stairs,0
tv remote,rec/game,0
plant,rec/game,0
dumbells,rec/game,0
water bottle,familyroom,0
clothes,bathroom,0
armchair,stairs,0
jumprope,bathroom,0
sink,familyroom,0
jumprope,rec/game,0
nightstand,stairs,0
toothbrush,familyroom,0
television,no label,0
toilet,familyroom,0
phone,rec/game,0
sink,stairs,0
clothes,rec/game,0
headphones,bedroom,0
mug,kitchen,0
books,hallway,0
toilet,living room,0
phone,entryway/foyer/lobby,0
bathtub,familyroom,0
playing cards,living room,0
towel,kitchen,0
mug,bathroom,0
mug,rec/game,0
headphones,bathroom,0
wallet,bathroom,0
headphones,rec/game,0
playing cards,hallway,0
cushion,hallway,0
tv remote,kitchen,0
cushion,stairs,0
wristwatch,stairs,0
wallet,familyroom,0
plant,kitchen,0
dumbells,kitchen,0
curtain,stairs,0
tv remote,familyroom,0
hairbrush,familyroom,0
wristwatch,bedroom,0
phone,kitchen,0
tv remote,no label,0
bookcase,stairs,0
clothes,kitchen,0
hairbrush,no label,0
cushion,bathroom,0
plant,no label,0
phone,bedroom,0
cushion,balcony,0
phone,bathroom,0
phone,balcony,0
mug,stairs,0
mug,hallway,0
mug,entryway/foyer/lobby,0
dumbells,familyroom,0
dumbells,no label,0
toothbrush,no label,0
playing cards,rec/game,0
water bottle,hallway,0
water bottle,stairs,0
sink,entryway/foyer/lobby,0
jumprope,no label,0
refrigerator,familyroom,0
playing cards,balcony,0
mug,bedroom,0
mug,balcony,0
headphones,balcony,0
playing cards,entryway/foyer/lobby,0
headphones,kitchen,0
whiteboard,hallway,0
cushion,entryway/foyer/lobby,0
armchair,bathroom,0
wristwatch,hallway,0
wristwatch,entryway/foyer/lobby,0
headphones,familyroom,0
hairbrush,bedroom,0
whiteboard,living room,0
water bottle,bedroom,0
appliance,stairs,0
headphones,no label,0
wallet,no label,0
water bottle,rec/game,0
board,hallway,0
board,entryway/foyer/lobby,0
playing cards,kitchen,0
bathtub,stairs,0
sink,rec/game,0
board,living room,0
wallet,living room,0
wristwatch,balcony,0
wristwatch,kitchen,0
playing cards,bathroom,0
towel,stairs,0
sink,no label,0
sofa,bathroom,0
