Object,Room,Answer
nightstand,lounge,1
dresser,dining room,1
chair,hallway,1
television,lounge,1
television,bedroom,1
books,lounge,1
bookcase,hallway,1
toilet,dining room,1
sofa,dining room,1
armchair,hallway,1
window,lounge,1
bed,hallway,1
whiteboard,dining room,1
window,bedroom,1
nightstand,hallway,1
chair,dining room,1
table,bedroom,1
nightstand,entryway/foyer/lobby,1
bathtub,dining room,1
dresser,hallway,1
sink,entryway/foyer/lobby,1
bookcase,dining room,1
books,hallway,1
table,dining room,1
nightstand,bedroom,1
whiteboard,hallway,1
bed,dining room,1
dresser,lounge,1
window,hallway,1
sofa,hallway,1
cushion,hallway,1
books,bedroom,1
bookcase,entryway/foyer/lobby,1
curtain,hallway,1
mirror,dining room,1
table,hallway,1
table,entryway/foyer/lobby,1
toilet,lounge,1
bed,entryway/foyer/lobby,1
cushion,lounge,1
cushion,bedroom,1
chair,lounge,1
dresser,entryway/foyer/lobby,1
chair,bedroom,1
bathtub,lounge,1
curtain,dining room,1
picture,hallway,1
board,lounge,1
bookcase,lounge,1
toilet,hallway,1
sofa,entryway/foyer/lobby,1
board,dining room,1
cabinet,dining room,1
whiteboard,entryway/foyer/lobby,1
bed,lounge,1
bed,bedroom,1
curtain,entryway/foyer/lobby,1
picture,lounge,1
window,entryway/foyer/lobby,1
picture,bedroom,1
counter,lounge,1
desk,dining room,1
bathtub,hallway,1
mirror,lounge,1
picture,dining room,1
board,hallway,1
sofa,lounge,1
refrigerator,lounge,1
sofa,bedroom,1
whiteboard,lounge,1
picture,entryway/foyer/lobby,1
counter,hallway,1
curtain,lounge,1
curtain,bedroom,1
mirror,hallway,1
television,hallway,1
television,entryway/foyer/lobby,1
armchair,dining room,1
appliance,entryway/foyer/lobby,1
cabinet,lounge,1
nightstand,dining room,1
refrigerator,entryway/foyer/lobby,1
desk,lounge,1
plant,bedroom,1
desk,bedroom,1
bathtub,entryway/foyer/lobby,1
television,dining room,1
clothes,lounge,1
cushion,dining room,1
table,lounge,1
desk,hallway,1
desk,entryway/foyer/lobby,1
cabinet,hallway,1
cabinet,entryway/foyer/lobby,1
armchair,lounge,1
armchair,bedroom,1
mirror,entryway/foyer/lobby,1
clothes,entryway/foyer/lobby,1
