Object,Room,Answer
wristwatch,office,0
nightstand,laundryroom,0
water bottle,living room,0
wristwatch,kitchen,0
television,balcony,0
wristwatch,bedroom,0
playing cards,laundryroom,0
wristwatch,balcony,0
cushion,office,0
wristwatch,stairs,0
mug,living room,0
clothes,dining room,0
cushion,balcony,0
toilet,entryway/foyer/lobby,0
toothbrush,balcony,0
wallet,balcony,0
wallet,laundryroom,0
board,laundryroom,0
mirror,laundryroom,0
playing cards,hallway,0
dumbells,familyroom,0
curtain,laundryroom,0
jumprope,entryway/foyer/lobby,0
appliance,entryway/foyer/lobby,0
books,entryway/foyer/lobby,0
playing cards,living room,0
tv remote,rec/game,0
cushion,laundryroom,0
phone,bathroom,0
toothbrush,dining room,0
phone,rec/game,0
headphones,familyroom,0
tv remote,kitchen,0
headphones,rec/game,0
whiteboard,living room,0
hairbrush,familyroom,0
hairbrush,rec/game,0
playing cards,no label,0
phone,kitchen,0
wallet,hallway,0
dumbells,bedroom,0
water bottle,dining room,0
tv remote,stairs,0
tv remote,office,0
toothbrush,living room,0
phone,stairs,0
clothes,no label,0
wallet,living room,0
phone,office,0
headphones,office,0
board,bathroom,0
toothbrush,hallway,0
hairbrush,office,0
phone,bedroom,0
headphones,kitchen,0
headphones,bedroom,0
mug,dining room,0
hairbrush,kitchen,0
tv remote,closet,0
sink,dining room,0
hairbrush,bedroom,0
phone,balcony,0
phone,closet,0
dumbells,closet,0
headphones,stairs,0
dumbells,balcony,0
water bottle,rec/game,0
dumbells,laundryroom,0
jumprope,kitchen,0
tv remote,entryway/foyer/lobby,0
appliance,closet,0
jumprope,stairs,0
dumbells,entryway/foyer/lobby,0
playing cards,dining room,0
wristwatch,closet,0
mug,rec/game,0
books,stairs,0
water bottle,office,0
water bottle,bedroom,0
phone,entryway/foyer/lobby,0
headphones,entryway/foyer/lobby,0
tv remote,familyroom,0
hairbrush,entryway/foyer/lobby,0
television,laundryroom,0
plant,office,0
mug,office,0
wristwatch,dining room,0
wallet,dining room,0
dumbells,living room,0
wristwatch,laundryroom,0
wallet,familyroom,0
plant,bedroom,0
mug,bedroom,0
playing cards,rec/game,0
dumbells,bathroom,0
bathtub,familyroom,0
tv remote,bedroom,0
playing cards,stairs,0
curtain,living room,0
playing cards,office,0
television,no label,0
toothbrush,rec/game,0
wallet,rec/game,0
water bottle,entryway/foyer/lobby,0
wristwatch,hallway,0
wristwatch,no label,0
bathtub,office,0
clothes,stairs,0
jumprope,bathroom,0
clothes,office,0
jumprope,rec/game,0
water bottle,familyroom,0
hairbrush,stairs,0
counter,balcony,0
toothbrush,no label,0
mug,entryway/foyer/lobby,0
wallet,office,0
sink,entryway/foyer/lobby,0
tv remote,balcony,0
tv remote,laundryroom,0
toothbrush,kitchen,0
headphones,closet,0
jumprope,office,0
wallet,bedroom,0
hairbrush,closet,0
mug,familyroom,0
sink,familyroom,0
jumprope,bedroom,0
toilet,dining room,0
water bottle,kitchen,0
jumprope,balcony,0
bookcase,balcony,0
jumprope,closet,0
water bottle,stairs,0
playing cards,entryway/foyer/lobby,0
phone,laundryroom,0
headphones,laundryroom,0
counter,entryway/foyer/lobby,0
hairbrush,laundryroom,0
playing cards,familyroom,0
mug,kitchen,0
bathtub,entryway/foyer/lobby,0
sink,bedroom,0
clothes,entryway/foyer/lobby,0
dumbells,hallway,0
water bottle,closet,0
mug,stairs,0
jumprope,dining room,0
tv remote,living room,0
jumprope,laundryroom,0
phone,living room,0
tv remote,bathroom,0
toothbrush,entryway/foyer/lobby,0
wallet,entryway/foyer/lobby,0
armchair,office,0
tv remote,no label,0
phone,no label,0
phone,hallway,0
sofa,laundryroom,0
headphones,hallway,0
wristwatch,familyroom,0
playing cards,bedroom,0
mug,closet,0
hairbrush,hallway,0
dumbells,no label,0
sink,closet,0
playing cards,kitchen,0
plant,balcony,0
curtain,rec/game,0
mug,balcony,0
jumprope,hallway,0
chair,laundryroom,0
wristwatch,living room,0
whiteboard,kitchen,0
jumprope,no label,0
headphones,bathroom,0
toothbrush,familyroom,0
nightstand,balcony,0
hairbrush,bathroom,0
towel,stairs,0
wallet,kitchen,0
mug,laundryroom,0
playing cards,closet,0
playing cards,balcony,0
bookcase,no label,0
toothbrush,stairs,0
wallet,stairs,0
board,stairs,0
toothbrush,office,0
water bottle,no label,0
board,office,0
bathtub,balcony,0
toothbrush,bedroom,0
clothes,balcony,0
clothes,laundryroom,0
headphones,balcony,0
tv remote,dining room,0
hairbrush,balcony,0
toothbrush,closet,0
phone,dining room,0
mug,no label,0
wallet,closet,0
dumbells,dining room,0
phone,familyroom,0
mug,hallway,0
bed,laundryroom,0
water bottle,bathroom,0
whiteboard,entryway/foyer/lobby,0
bed,entryway/foyer/lobby,0
wristwatch,entryway/foyer/lobby,0
mug,bathroom,0
tv remote,hallway,0
board,entryway/foyer/lobby,0
towel,entryway/foyer/lobby,0
headphones,dining room,0
hairbrush,dining room,0
toothbrush,laundryroom,0
refrigerator,balcony,0
playing cards,bathroom,0
toilet,rec/game,0
dumbells,rec/game,0
water bottle,balcony,0
clothes,living room,0
water bottle,laundryroom,0
toilet,kitchen,0
headphones,living room,0
dumbells,kitchen,0
hairbrush,living room,0
cabinet,balcony,0
sink,office,0
dresser,balcony,0
jumprope,familyroom,0
dumbells,stairs,0
dumbells,office,0
headphones,no label,0
wristwatch,bathroom,0
wallet,no label,0
hairbrush,no label,0
sink,balcony,0
jumprope,living room,0
wristwatch,rec/game,0
armchair,laundryroom,0
water bottle,hallway,0
toothbrush,bathroom,0
wallet,bathroom,0
