Object,Room,Answer
playing cards,no label,0
phone,no label,0
dumbells,hallway,0
toothbrush,hallway,0
chair,no label,0
toilet,entryway/foyer/lobby,0
tv remote,lounge,0
dumbells,lounge,0
curtain,entryway/foyer/lobby,0
appliance,hallway,0
armchair,no label,0
bathtub,entryway/foyer/lobby,0
toothbrush,lounge,0
hairbrush,spa/sauna,0
mug,no label,0
wallet,hallway,0
water bottle,spa/sauna,0
tv remote,hallway,0
tv remote,entryway/foyer/lobby,0
hairbrush,hallway,0
hairbrush,entryway/foyer/lobby,0
toothbrush,spa/sauna,0
dumbells,entryway/foyer/lobby,0
counter,entryway/foyer/lobby,0
books,no label,0
toothbrush,entryway/foyer/lobby,0
headphones,lounge,0
wallet,lounge,0
wristwatch,no label,0
clothes,entryway/foyer/lobby,0
jumprope,hallway,0
jumprope,entryway/foyer/lobby,0
phone,hallway,0
wallet,spa/sauna,0
playing cards,lounge,0
tv remote,spa/sauna,0
headphones,hallway,0
headphones,entryway/foyer/lobby,0
wallet,entryway/foyer/lobby,0
water bottle,no label,0
wristwatch,lounge,0
towel,entryway/foyer/lobby,0
television,no label,0
dumbells,spa/sauna,0
playing cards,spa/sauna,0
sink,hallway,0
jumprope,spa/sauna,0
desk,entryway/foyer/lobby,0
appliance,no label,0
phone,entryway/foyer/lobby,0
playing cards,hallway,0
headphones,spa/sauna,0
chair,entryway/foyer/lobby,0
table,entryway/foyer/lobby,0
armchair,entryway/foyer/lobby,0
tv remote,no label,0
hairbrush,no label,0
phone,lounge,0
mug,hallway,0
mug,entryway/foyer/lobby,0
dumbells,no label,0
nightstand,entryway/foyer/lobby,0
toothbrush,no label,0
water bottle,hallway,0
wristwatch,spa/sauna,0
sink,entryway/foyer/lobby,0
jumprope,no label,0
mug,lounge,0
phone,spa/sauna,0
playing cards,entryway/foyer/lobby,0
cushion,entryway/foyer/lobby,0
wristwatch,hallway,0
hairbrush,lounge,0
water bottle,lounge,0
wristwatch,entryway/foyer/lobby,0
headphones,no label,0
mug,spa/sauna,0
wallet,no label,0
jumprope,lounge,0
bed,entryway/foyer/lobby,0
water bottle,entryway/foyer/lobby,0
