Object,Room,Answer
dresser,kitchen,1
whiteboard,hallway,1
bed,kitchen,1
whiteboard,stairs,1
cabinet,lounge,1
mirror,stairs,1
bed,lounge,1
mirror,workout/gym/exercise,1
television,workout/gym/exercise,1
dresser,lounge,1
cabinet,kitchen,1
sofa,hallway,1
refrigerator,hallway,1
clothes,stairs,1
chair,hallway,1
appliance,hallway,1
sofa,stairs,1
picture,lounge,1
nightstand,kitchen,1
plant,lounge,1
appliance,stairs,1
counter,lounge,1
plant,kitchen,1
desk,lounge,1
toilet,workout/gym/exercise,1
picture,kitchen,1
counter,kitchen,1
refrigerator,stairs,1
desk,kitchen,1
mirror,lounge,1
table,hallway,1
television,lounge,1
window,stairs,1
television,kitchen,1
sofa,workout/gym/exercise,1
chair,workout/gym/exercise,1
mirror,kitchen,1
whiteboard,workout/gym/exercise,1
board,hallway,1
bookcase,hallway,1
cushion,kitchen,1
toilet,lounge,1
sofa,kitchen,1
appliance,lounge,1
table,workout/gym/exercise,1
chair,kitchen,1
appliance,kitchen,1
cushion,lounge,1
books,hallway,1
sofa,lounge,1
refrigerator,lounge,1
board,workout/gym/exercise,1
chair,lounge,1
nightstand,hallway,1
refrigerator,kitchen,1
bookcase,workout/gym/exercise,1
armchair,workout/gym/exercise,1
whiteboard,lounge,1
counter,hallway,1
table,lounge,1
desk,hallway,1
cabinet,hallway,1
dresser,hallway,1
dresser,stairs,1
bed,workout/gym/exercise,1
table,kitchen,1
picture,hallway,1
dresser,workout/gym/exercise,1
armchair,lounge,1
picture,stairs,1
board,lounge,1
desk,stairs,1
picture,workout/gym/exercise,1
desk,workout/gym/exercise,1
