Object,Room,Answer
hairbrush,living room,0
water bottle,living room,0
wristwatch,bathroom,0
armchair,laundryroom,0
playing cards,no label,0
playing cards,familyroom,0
phone,no label,0
headphones,laundryroom,0
tv remote,stairs,0
jumprope,familyroom,0
bookcase,kitchen,0
hairbrush,stairs,0
mug,laundryroom,0
board,outdoor,0
phone,familyroom,0
dumbells,hallway,0
dumbells,stairs,0
towel,laundryroom,0
wallet,dining room,0
tv remote,outdoor,0
bookcase,bathroom,0
headphones,porch/terrace/deck/driveway,0
toothbrush,hallway,0
toothbrush,stairs,0
jumprope,living room,0
chair,no label,0
hairbrush,closet,0
towel,dining room,0
toothbrush,living room,0
dumbells,no label,0
cabinet,dining room,0
clothes,stairs,0
water bottle,kitchen,0
tv remote,bedroom,0
jumprope,stairs,0
table,no label,0
plant,laundryroom,0
dumbells,laundryroom,0
mug,familyroom,0
dumbells,bedroom,0
playing cards,laundryroom,0
water bottle,bathroom,0
clothes,outdoor,0
armchair,no label,0
sink,porch/terrace/deck/driveway,0
water bottle,closet,0
phone,laundryroom,0
toothbrush,bedroom,0
dumbells,dining room,0
wristwatch,laundryroom,0
mug,no label,0
jumprope,outdoor,0
toothbrush,closet,0
window,laundryroom,0
wristwatch,dining room,0
nightstand,no label,0
toilet,kitchen,0
wristwatch,porch/terrace/deck/driveway,0
wallet,hallway,0
wallet,stairs,0
chair,laundryroom,0
tv remote,hallway,0
hairbrush,hallway,0
curtain,kitchen,0
curtain,closet,0
tv remote,living room,0
wristwatch,familyroom,0
wallet,outdoor,0
wallet,kitchen,0
books,no label,0
dumbells,living room,0
sofa,no label,0
mug,dining room,0
whiteboard,no label,0
cushion,no label,0
towel,outdoor,0
wristwatch,no label,0
nightstand,outdoor,0
wallet,bedroom,0
board,kitchen,0
wristwatch,living room,0
board,closet,0
curtain,no label,0
jumprope,hallway,0
wallet,closet,0
playing cards,stairs,0
phone,hallway,0
headphones,dining room,0
tv remote,closet,0
phone,stairs,0
phone,living room,0
hairbrush,kitchen,0
bookcase,no label,0
dumbells,outdoor,0
sink,laundryroom,0
board,no label,0
tv remote,bathroom,0
water bottle,porch/terrace/deck/driveway,0
hairbrush,bathroom,0
phone,outdoor,0
bed,no label,0
toothbrush,kitchen,0
wristwatch,outdoor,0
dumbells,bathroom,0
mirror,kitchen,0
playing cards,bedroom,0
television,kitchen,0
television,closet,0
headphones,hallway,0
jumprope,bedroom,0
water bottle,no label,0
headphones,stairs,0
table,stairs,0
toothbrush,bathroom,0
mug,living room,0
jumprope,closet,0
jumprope,kitchen,0
headphones,living room,0
playing cards,dining room,0
cushion,dining room,0
phone,dining room,0
water bottle,familyroom,0
phone,closet,0
bathtub,laundryroom,0
jumprope,bathroom,0
sink,familyroom,0
toothbrush,familyroom,0
mug,outdoor,0
television,no label,0
bathtub,dining room,0
armchair,outdoor,0
sink,stairs,0
headphones,bedroom,0
appliance,no label,0
toilet,no label,0
headphones,outdoor,0
mug,kitchen,0
books,hallway,0
bed,laundryroom,0
toilet,living room,0
mug,closet,0
hairbrush,laundryroom,0
bathtub,familyroom,0
refrigerator,no label,0
playing cards,living room,0
books,living room,0
cushion,living room,0
armchair,closet,0
mug,bathroom,0
water bottle,laundryroom,0
headphones,bathroom,0
wallet,bathroom,0
playing cards,hallway,0
hairbrush,dining room,0
cabinet,kitchen,0
books,stairs,0
bathtub,no label,0
bathtub,living room,0
cushion,hallway,0
tv remote,kitchen,0
wristwatch,stairs,0
wallet,familyroom,0
towel,no label,0
books,bedroom,0
toilet,outdoor,0
dumbells,closet,0
dumbells,kitchen,0
tv remote,familyroom,0
toothbrush,laundryroom,0
tv remote,porch/terrace/deck/driveway,0
hairbrush,familyroom,0
hairbrush,porch/terrace/deck/driveway,0
playing cards,outdoor,0
cushion,outdoor,0
wristwatch,bedroom,0
dumbells,porch/terrace/deck/driveway,0
cushion,kitchen,0
phone,kitchen,0
wristwatch,closet,0
chair,outdoor,0
jumprope,porch/terrace/deck/driveway,0
tv remote,no label,0
clothes,kitchen,0
toilet,dining room,0
toothbrush,porch/terrace/deck/driveway,0
hairbrush,no label,0
cushion,bathroom,0
bathtub,outdoor,0
plant,no label,0
bookcase,living room,0
phone,bedroom,0
phone,bathroom,0
cabinet,no label,0
mug,stairs,0
mug,hallway,0
dumbells,familyroom,0
curtain,laundryroom,0
clothes,porch/terrace/deck/driveway,0
counter,no label,0
whiteboard,dining room,0
toothbrush,no label,0
mirror,no label,0
wallet,laundryroom,0
water bottle,hallway,0
water bottle,stairs,0
clothes,no label,0
clothes,familyroom,0
jumprope,no label,0
chair,bathroom,0
refrigerator,familyroom,0
board,laundryroom,0
mug,porch/terrace/deck/driveway,0
mug,bedroom,0
hairbrush,outdoor,0
armchair,kitchen,0
bookcase,dining room,0
headphones,kitchen,0
tv remote,laundryroom,0
headphones,closet,0
water bottle,outdoor,0
armchair,bathroom,0
sink,outdoor,0
wristwatch,hallway,0
headphones,familyroom,0
toothbrush,outdoor,0
hairbrush,bedroom,0
wallet,porch/terrace/deck/driveway,0
water bottle,bedroom,0
tv remote,dining room,0
appliance,stairs,0
curtain,living room,0
water bottle,dining room,0
headphones,no label,0
wallet,no label,0
sink,closet,0
television,laundryroom,0
toothbrush,dining room,0
board,hallway,0
jumprope,laundryroom,0
playing cards,kitchen,0
playing cards,closet,0
books,closet,0
board,living room,0
whiteboard,outdoor,0
wallet,living room,0
whiteboard,kitchen,0
