Object,Room,Answer
nightstand,other room,0
wristwatch,bathroom,0
television,familyroom,0
playing cards,no label,0
towel,utilityroom,0
jumprope,toilet,0
phone,no label,0
water bottle,other room,0
headphones,laundryroom,0
curtain,bathroom,0
curtain,bedroom,0
tv remote,stairs,0
phone,office,0
jumprope,familyroom,0
wristwatch,office,0
hairbrush,stairs,0
mug,laundryroom,0
toothbrush,other room,0
dumbells,hallway,0
phone,familyroom,0
plant,stairs,0
dumbells,stairs,0
wallet,dining room,0
refrigerator,toilet,0
tv remote,utilityroom,0
nightstand,laundryroom,0
books,other room,0
toothbrush,hallway,0
bed,kitchen,0
toothbrush,stairs,0
plant,utilityroom,0
dumbells,utilityroom,0
board,bathroom,0
towel,dining room,0
dumbells,no label,0
water bottle,kitchen,0
tv remote,lounge,0
tv remote,bedroom,0
jumprope,stairs,0
mug,office,0
phone,utilityroom,0
plant,laundryroom,0
dumbells,lounge,0
dumbells,laundryroom,0
mug,familyroom,0
dumbells,bedroom,0
playing cards,laundryroom,0
water bottle,bathroom,0
toothbrush,lounge,0
curtain,other room,0
plant,dining room,0
toothbrush,bedroom,0
phone,laundryroom,0
dumbells,dining room,0
headphones,office,0
mug,no label,0
wristwatch,laundryroom,0
board,other room,0
playing cards,familyroom,0
wallet,other room,0
tv remote,toilet,0
wristwatch,dining room,0
sink,office,0
toilet,kitchen,0
plant,toilet,0
mug,utilityroom,0
dumbells,toilet,0
headphones,utilityroom,0
wallet,hallway,0
wallet,stairs,0
books,familyroom,0
tv remote,hallway,0
toothbrush,toilet,0
hairbrush,hallway,0
phone,toilet,0
wristwatch,familyroom,0
appliance,office,0
toilet,office,0
wallet,kitchen,0
mug,dining room,0
dumbells,other room,0
refrigerator,office,0
headphones,lounge,0
cushion,familyroom,0
wallet,lounge,0
armchair,dining room,0
wristwatch,no label,0
wallet,bedroom,0
chair,toilet,0
jumprope,hallway,0
chair,familyroom,0
bathtub,office,0
playing cards,stairs,0
phone,hallway,0
headphones,dining room,0
phone,stairs,0
toilet,utilityroom,0
hairbrush,kitchen,0
bookcase,no label,0
playing cards,utilityroom,0
mug,toilet,0
headphones,toilet,0
tv remote,bathroom,0
board,office,0
hairbrush,bathroom,0
chair,utilityroom,0
wristwatch,utilityroom,0
toothbrush,kitchen,0
dumbells,bathroom,0
playing cards,lounge,0
mirror,kitchen,0
cushion,laundryroom,0
tv remote,office,0
bathtub,utilityroom,0
hairbrush,office,0
playing cards,bedroom,0
headphones,hallway,0
armchair,other room,0
jumprope,bedroom,0
water bottle,no label,0
headphones,stairs,0
toothbrush,bathroom,0
jumprope,kitchen,0
water bottle,office,0
wristwatch,lounge,0
playing cards,dining room,0
books,dining room,0
phone,dining room,0
water bottle,familyroom,0
tv remote,other room,0
sink,toilet,0
toothbrush,office,0
sofa,laundryroom,0
jumprope,bathroom,0
sink,familyroom,0
toothbrush,familyroom,0
clothes,office,0
toilet,familyroom,0
playing cards,toilet,0
cushion,toilet,0
headphones,bedroom,0
wristwatch,toilet,0
toilet,no label,0
water bottle,utilityroom,0
wristwatch,other room,0
mug,kitchen,0
bed,laundryroom,0
sink,utilityroom,0
sofa,toilet,0
hairbrush,laundryroom,0
bathtub,familyroom,0
jumprope,other room,0
mug,bathroom,0
cushion,other room,0
phone,other room,0
water bottle,laundryroom,0
counter,laundryroom,0
wallet,bathroom,0
curtain,office,0
bookcase,toilet,0
hairbrush,dining room,0
headphones,bathroom,0
playing cards,hallway,0
curtain,familyroom,0
cushion,hallway,0
wallet,office,0
tv remote,kitchen,0
cushion,stairs,0
wristwatch,stairs,0
wallet,familyroom,0
armchair,toilet,0
bed,toilet,0
sink,dining room,0
plant,kitchen,0
dumbells,kitchen,0
tv remote,familyroom,0
toothbrush,laundryroom,0
hairbrush,familyroom,0
water bottle,toilet,0
wristwatch,bedroom,0
mug,other room,0
phone,kitchen,0
headphones,other room,0
curtain,utilityroom,0
tv remote,no label,0
appliance,dining room,0
hairbrush,no label,0
phone,lounge,0
cushion,bathroom,0
plant,no label,0
phone,bedroom,0
phone,bathroom,0
mug,stairs,0
mug,hallway,0
wallet,utilityroom,0
plant,office,0
dumbells,familyroom,0
sofa,dining room,0
curtain,laundryroom,0
dumbells,office,0
playing cards,office,0
toothbrush,no label,0
wallet,laundryroom,0
water bottle,hallway,0
sink,other room,0
curtain,dining room,0
water bottle,stairs,0
jumprope,no label,0
jumprope,office,0
board,laundryroom,0
mug,lounge,0
mug,bedroom,0
hairbrush,utilityroom,0
headphones,kitchen,0
tv remote,laundryroom,0
appliance,other room,0
toilet,other room,0
wallet,toilet,0
wristwatch,hallway,0
hairbrush,lounge,0
water bottle,lounge,0
toothbrush,utilityroom,0
headphones,familyroom,0
hairbrush,bedroom,0
sofa,other room,0
water bottle,bedroom,0
tv remote,dining room,0
playing cards,other room,0
jumprope,utilityroom,0
armchair,familyroom,0
water bottle,dining room,0
headphones,no label,0
sink,bedroom,0
board,familyroom,0
bathtub,other room,0
wallet,no label,0
sink,kitchen,0
toothbrush,dining room,0
towel,office,0
jumprope,lounge,0
jumprope,laundryroom,0
nightstand,office,0
hairbrush,toilet,0
playing cards,kitchen,0
sofa,kitchen,0
toilet,bedroom,0
whiteboard,kitchen,0
armchair,utilityroom,0
jumprope,dining room,0
wristwatch,kitchen,0
playing cards,bathroom,0
sink,no label,0
table,laundryroom,0
bed,other room,0
bathtub,kitchen,0
hairbrush,other room,0
