Object,Room,Answer
wristwatch,familyroom,0
hairbrush,office,0
toilet,entryway/foyer/lobby,0
cabinet,closet,0
toothbrush,kitchen,0
toothbrush,familyroom,0
jumprope,office,0
water bottle,living room,0
armchair,laundryroom,0
counter,toilet,0
tv remote,kitchen,0
playing cards,familyroom,0
water bottle,hallway,0
armchair,closet,0
appliance,dining room,0
toilet,dining room,0
phone,kitchen,0
toothbrush,closet,0
bathtub,kitchen,0
clothes,dining room,0
tv remote,familyroom,0
curtain,entryway/foyer/lobby,0
toothbrush,laundryroom,0
wallet,familyroom,0
playing cards,entryway/foyer/lobby,0
books,office,0
bathtub,living room,0
wristwatch,dining room,0
towel,entryway/foyer/lobby,0
hairbrush,familyroom,0
water bottle,office,0
jumprope,kitchen,0
tv remote,closet,0
headphones,familyroom,0
chair,closet,0
clothes,familyroom,0
hairbrush,entryway/foyer/lobby,0
sink,closet,0
sofa,toilet,0
hairbrush,closet,0
wallet,laundryroom,0
jumprope,living room,0
jumprope,closet,0
table,closet,0
headphones,bedroom,0
refrigerator,living room,0
mug,familyroom,0
jumprope,hallway,0
hairbrush,laundryroom,0
headphones,entryway/foyer/lobby,0
jumprope,laundryroom,0
clothes,entryway/foyer/lobby,0
dumbells,office,0
curtain,toilet,0
window,toilet,0
dumbells,bathroom,0
mirror,office,0
board,office,0
water bottle,familyroom,0
mug,closet,0
mug,hallway,0
headphones,dining room,0
bookcase,closet,0
mug,laundryroom,0
wallet,dining room,0
wristwatch,bedroom,0
bed,toilet,0
water bottle,entryway/foyer/lobby,0
wristwatch,entryway/foyer/lobby,0
water bottle,closet,0
armchair,entryway/foyer/lobby,0
cabinet,entryway/foyer/lobby,0
chair,kitchen,0
sink,familyroom,0
appliance,toilet,0
counter,closet,0
toothbrush,bedroom,0
phone,familyroom,0
dumbells,toilet,0
bathtub,familyroom,0
toothbrush,entryway/foyer/lobby,0
water bottle,laundryroom,0
wristwatch,bathroom,0
wallet,toilet,0
armchair,dining room,0
dumbells,hallway,0
tv remote,laundryroom,0
phone,closet,0
mug,dining room,0
chair,laundryroom,0
curtain,office,0
cushion,office,0
appliance,living room,0
playing cards,office,0
tv remote,bedroom,0
cabinet,toilet,0
dumbells,living room,0
playing cards,bathroom,0
phone,laundryroom,0
tv remote,entryway/foyer/lobby,0
chair,entryway/foyer/lobby,0
board,closet,0
phone,bedroom,0
hairbrush,bedroom,0
phone,entryway/foyer/lobby,0
sink,entryway/foyer/lobby,0
jumprope,bedroom,0
armchair,toilet,0
toothbrush,dining room,0
jumprope,entryway/foyer/lobby,0
wallet,bedroom,0
wristwatch,toilet,0
sofa,closet,0
toothbrush,toilet,0
cushion,familyroom,0
refrigerator,entryway/foyer/lobby,0
cabinet,living room,0
hairbrush,bathroom,0
mug,kitchen,0
wallet,entryway/foyer/lobby,0
tv remote,dining room,0
appliance,office,0
books,entryway/foyer/lobby,0
cushion,toilet,0
towel,dining room,0
toilet,office,0
books,closet,0
sink,dining room,0
window,closet,0
hairbrush,dining room,0
phone,dining room,0
mug,bedroom,0
wallet,bathroom,0
clothes,office,0
jumprope,dining room,0
headphones,bathroom,0
towel,toilet,0
mug,entryway/foyer/lobby,0
bed,kitchen,0
toothbrush,living room,0
plant,office,0
tv remote,toilet,0
wristwatch,office,0
water bottle,bedroom,0
cushion,living room,0
dumbells,kitchen,0
playing cards,living room,0
bed,closet,0
hairbrush,toilet,0
books,bathroom,0
nightstand,familyroom,0
water bottle,bathroom,0
armchair,bathroom,0
dumbells,closet,0
headphones,toilet,0
wallet,living room,0
clothes,toilet,0
books,dining room,0
toothbrush,office,0
bed,entryway/foyer/lobby,0
toothbrush,bathroom,0
water bottle,dining room,0
dumbells,laundryroom,0
wallet,hallway,0
playing cards,toilet,0
toilet,laundryroom,0
wristwatch,kitchen,0
bookcase,toilet,0
toilet,closet,0
clothes,living room,0
water bottle,toilet,0
tv remote,bathroom,0
headphones,office,0
chair,bathroom,0
wallet,office,0
sofa,entryway/foyer/lobby,0
plant,closet,0
mug,living room,0
wristwatch,living room,0
cushion,kitchen,0
phone,bathroom,0
dumbells,dining room,0
wristwatch,closet,0
playing cards,kitchen,0
jumprope,bathroom,0
wristwatch,hallway,0
wristwatch,laundryroom,0
toothbrush,hallway,0
refrigerator,bathroom,0
phone,toilet,0
sink,toilet,0
playing cards,closet,0
bathtub,toilet,0
wallet,kitchen,0
playing cards,hallway,0
playing cards,laundryroom,0
television,closet,0
hairbrush,kitchen,0
tv remote,living room,0
mug,office,0
mug,bathroom,0
chair,toilet,0
phone,hallway,0
jumprope,familyroom,0
dumbells,familyroom,0
playing cards,bedroom,0
cushion,entryway/foyer/lobby,0
tv remote,hallway,0
towel,living room,0
phone,living room,0
sink,living room,0
toilet,kitchen,0
toilet,familyroom,0
hairbrush,living room,0
jumprope,toilet,0
headphones,kitchen,0
dumbells,bedroom,0
clothes,kitchen,0
refrigerator,toilet,0
hairbrush,hallway,0
dumbells,entryway/foyer/lobby,0
armchair,kitchen,0
headphones,living room,0
headphones,closet,0
curtain,dining room,0
cushion,dining room,0
wallet,closet,0
playing cards,dining room,0
headphones,hallway,0
tv remote,office,0
headphones,laundryroom,0
nightstand,laundryroom,0
mug,toilet,0
towel,office,0
water bottle,kitchen,0
phone,office,0
sink,office,0
