Object,Room,Answer
towel,bathroom,1
dresser,dining room,1
chair,living room,1
picture,kitchen,1
appliance,laundryroom,1
books,lounge,1
bookcase,hallway,1
counter,bathroom,1
bookcase,stairs,1
window,garage,1
dresser,living room,1
whiteboard,dining room,1
board,workout/gym/exercise,1
bookcase,workout/gym/exercise,1
chair,dining room,1
toilet,toilet,1
bed,living room,1
bathtub,toilet,1
nightstand,bedroom,1
bed,dining room,1
whiteboard,living room,1
window,hallway,1
sofa,living room,1
counter,dining room,1
towel,office,1
toilet,lounge,1
curtain,garage,1
bathtub,lounge,1
chair,closet,1
cabinet,utilityroom,1
bookcase,garage,1
bookcase,bathroom,1
plant,workout/gym/exercise,1
armchair,kitchen,1
desk,workout/gym/exercise,1
dresser,closet,1
desk,laundryroom,1
mirror,utilityroom,1
bed,closet,1
picture,bedroom,1
sink,bedroom,1
mirror,lounge,1
board,hallway,1
appliance,garage,1
appliance,bedroom,1
whiteboard,kitchen,1
whiteboard,closet,1
mirror,toilet,1
whiteboard,lounge,1
curtain,bedroom,1
counter,living room,1
nightstand,workout/gym/exercise,1
plant,hallway,1
plant,stairs,1
desk,stairs,1
refrigerator,toilet,1
bed,kitchen,1
board,bathroom,1
mirror,stairs,1
cabinet,lounge,1
bookcase,office,1
counter,closet,1
towel,toilet,1
clothes,bedroom,1
table,utilityroom,1
refrigerator,kitchen,1
toilet,bathroom,1
nightstand,utilityroom,1
desk,hallway,1
cabinet,hallway,1
table,lounge,1
cabinet,stairs,1
armchair,bedroom,1
towel,kitchen,1
dresser,garage,1
towel,lounge,1
table,toilet,1
desk,garage,1
counter,kitchen,1
board,office,1
plant,bathroom,1
television,bedroom,1
desk,bathroom,1
cabinet,bathroom,1
curtain,utilityroom,1
window,utilityroom,1
table,stairs,1
desk,office,1
mirror,bathroom,1
books,dining room,1
window,lounge,1
bookcase,utilityroom,1
nightstand,hallway,1
mirror,office,1
nightstand,stairs,1
sink,hallway,1
picture,workout/gym/exercise,1
window,toilet,1
sink,workout/gym/exercise,1
books,living room,1
dresser,bedroom,1
nightstand,garage,1
bathtub,living room,1
nightstand,bathroom,1
curtain,hallway,1
mirror,dining room,1
table,hallway,1
nightstand,office,1
cabinet,office,1
sink,bathroom,1
sofa,garage,1
curtain,workout/gym/exercise,1
cushion,bedroom,1
clothes,toilet,1
plant,office,1
cabinet,living room,1
chair,bedroom,1
picture,hallway,1
picture,stairs,1
board,lounge,1
bookcase,lounge,1
table,bathroom,1
cabinet,dining room,1
bed,bedroom,1
appliance,hallway,1
clothes,workout/gym/exercise,1
appliance,stairs,1
books,laundryroom,1
toilet,closet,1
books,kitchen,1
books,closet,1
whiteboard,bedroom,1
armchair,workout/gym/exercise,1
sofa,bedroom,1
bathtub,kitchen,1
dresser,utilityroom,1
refrigerator,dining room,1
curtain,bathroom,1
window,bathroom,1
television,hallway,1
board,kitchen,1
mirror,living room,1
window,office,1
board,closet,1
desk,utilityroom,1
towel,dining room,1
television,workout/gym/exercise,1
clothes,hallway,1
counter,bedroom,1
clothes,stairs,1
cabinet,closet,1
plant,lounge,1
table,office,1
refrigerator,living room,1
desk,lounge,1
picture,garage,1
mirror,closet,1
chair,utilityroom,1
picture,bathroom,1
television,bathroom,1
towel,living room,1
desk,toilet,1
window,dining room,1
chair,laundryroom,1
appliance,bathroom,1
appliance,office,1
dresser,workout/gym/exercise,1
dresser,laundryroom,1
curtain,office,1
window,living room,1
nightstand,lounge,1
chair,hallway,1
chair,stairs,1
plant,kitchen,1
