Object,Room,Answer
window,no label,1
chair,familyroom,1
window,living room,1
towel,bathroom,1
dresser,dining room,1
chair,hallway,1
chair,stairs,1
plant,outdoor,1
desk,closet,1
plant,kitchen,1
chair,living room,1
plant,closet,1
picture,kitchen,1
counter,kitchen,1
bookcase,familyroom,1
appliance,laundryroom,1
toilet,laundryroom,1
table,living room,1
plant,bathroom,1
television,bedroom,1
picture,porch/terrace/deck/driveway,1
desk,bathroom,1
cabinet,bathroom,1
counter,porch/terrace/deck/driveway,1
bookcase,hallway,1
counter,bathroom,1
window,outdoor,1
bookcase,stairs,1
bed,familyroom,1
refrigerator,laundryroom,1
whiteboard,laundryroom,1
mirror,bathroom,1
picture,no label,1
books,dining room,1
picture,familyroom,1
sofa,dining room,1
bed,hallway,1
armchair,hallway,1
clothes,bathroom,1
bed,stairs,1
dresser,living room,1
window,bedroom,1
nightstand,hallway,1
armchair,stairs,1
table,bedroom,1
nightstand,stairs,1
bed,living room,1
chair,dining room,1
appliance,porch/terrace/deck/driveway,1
refrigerator,closet,1
toilet,familyroom,1
nightstand,living room,1
table,outdoor,1
sink,hallway,1
dresser,hallway,1
dresser,stairs,1
refrigerator,porch/terrace/deck/driveway,1
sink,living room,1
whiteboard,familyroom,1
towel,bedroom,1
table,dining room,1
dresser,outdoor,1
dresser,kitchen,1
whiteboard,hallway,1
nightstand,bedroom,1
towel,closet,1
whiteboard,stairs,1
cabinet,laundryroom,1
nightstand,closet,1
whiteboard,living room,1
bed,dining room,1
counter,laundryroom,1
window,hallway,1
sofa,hallway,1
dresser,bathroom,1
dresser,bedroom,1
sofa,stairs,1
toilet,stairs,1
curtain,familyroom,1
mirror,laundryroom,1
sofa,living room,1
cushion,stairs,1
counter,dining room,1
board,familyroom,1
clothes,laundryroom,1
sink,kitchen,1
nightstand,bathroom,1
sink,dining room,1
curtain,hallway,1
desk,kitchen,1
curtain,stairs,1
picture,laundryroom,1
mirror,dining room,1
table,hallway,1
window,stairs,1
books,outdoor,1
mirror,porch/terrace/deck/driveway,1
plant,porch/terrace/deck/driveway,1
sink,bathroom,1
television,porch/terrace/deck/driveway,1
refrigerator,outdoor,1
desk,porch/terrace/deck/driveway,1
cushion,closet,1
cabinet,familyroom,1
desk,familyroom,1
bathtub,stairs,1
counter,familyroom,1
sofa,outdoor,1
toilet,bedroom,1
appliance,dining room,1
chair,kitchen,1
cushion,porch/terrace/deck/driveway,1
window,closet,1
cushion,bedroom,1
mirror,familyroom,1
sofa,closet,1
cabinet,living room,1
chair,bedroom,1
plant,familyroom,1
television,familyroom,1
chair,closet,1
board,bedroom,1
bathtub,bathroom,1
bathtub,bedroom,1
bookcase,outdoor,1
curtain,dining room,1
table,kitchen,1
picture,hallway,1
table,closet,1
clothes,living room,1
picture,stairs,1
counter,stairs,1
bed,outdoor,1
picture,living room,1
bookcase,bedroom,1
table,bathroom,1
toilet,hallway,1
bookcase,closet,1
towel,porch/terrace/deck/driveway,1
board,dining room,1
counter,outdoor,1
armchair,porch/terrace/deck/driveway,1
dresser,closet,1
bed,bathroom,1
bed,bedroom,1
desk,laundryroom,1
bed,closet,1
appliance,hallway,1
mirror,outdoor,1
dresser,porch/terrace/deck/driveway,1
nightstand,kitchen,1
books,laundryroom,1
picture,bedroom,1
desk,dining room,1
bathtub,hallway,1
armchair,familyroom,1
towel,familyroom,1
sink,bedroom,1
refrigerator,stairs,1
cabinet,porch/terrace/deck/driveway,1
nightstand,familyroom,1
picture,dining room,1
appliance,outdoor,1
appliance,closet,1
toilet,closet,1
board,stairs,1
books,kitchen,1
clothes,closet,1
sofa,kitchen,1
whiteboard,bedroom,1
appliance,bedroom,1
books,familyroom,1
towel,stairs,1
sink,no label,1
sofa,porch/terrace/deck/driveway,1
