Object,Room,Answer
hairbrush,living room,0
water bottle,living room,0
wristwatch,bathroom,0
playing cards,no label,0
jumprope,toilet,0
curtain,lounge,0
phone,no label,0
water bottle,other room,0
playing cards,familyroom,0
towel,workout/gym/exercise,0
bathtub,bedroom,0
phone,office,0
jumprope,familyroom,0
tv remote,stairs,0
hairbrush,stairs,0
cabinet,workout/gym/exercise,0
appliance,toilet,0
toothbrush,other room,0
dumbells,hallway,0
phone,familyroom,0
wristwatch,office,0
dumbells,stairs,0
wallet,dining room,0
bookcase,lounge,0
clothes,other room,0
books,other room,0
toothbrush,hallway,0
toothbrush,stairs,0
desk,workout/gym/exercise,0
jumprope,living room,0
playing cards,bar,0
books,bar,0
hairbrush,closet,0
toothbrush,living room,0
playing cards,workout/gym/exercise,0
nightstand,dining room,0
clothes,stairs,0
books,workout/gym/exercise,0
water bottle,kitchen,0
tv remote,bedroom,0
jumprope,stairs,0
mug,office,0
tv remote,lounge,0
wristwatch,bar,0
dumbells,lounge,0
mug,familyroom,0
dumbells,bedroom,0
water bottle,bathroom,0
toothbrush,lounge,0
water bottle,closet,0
curtain,other room,0
television,dining room,0
toothbrush,bedroom,0
dumbells,dining room,0
headphones,office,0
mug,no label,0
board,other room,0
toothbrush,closet,0
wallet,other room,0
tv remote,toilet,0
wristwatch,dining room,0
sink,office,0
nightstand,no label,0
plant,toilet,0
table,workout/gym/exercise,0
dumbells,toilet,0
wallet,hallway,0
counter,toilet,0
wallet,stairs,0
tv remote,hallway,0
armchair,workout/gym/exercise,0
toothbrush,toilet,0
hairbrush,hallway,0
phone,toilet,0
tv remote,living room,0
wristwatch,familyroom,0
sink,bar,0
wallet,kitchen,0
books,no label,0
dumbells,living room,0
sofa,no label,0
mug,dining room,0
television,other room,0
dumbells,other room,0
whiteboard,no label,0
cushion,no label,0
nightstand,workout/gym/exercise,0
headphones,lounge,0
wallet,lounge,0
wristwatch,no label,0
wallet,bedroom,0
chair,toilet,0
wristwatch,living room,0
curtain,no label,0
jumprope,hallway,0
window,no label,0
wallet,closet,0
bathtub,office,0
playing cards,stairs,0
phone,hallway,0
headphones,dining room,0
tv remote,closet,0
phone,stairs,0
phone,living room,0
playing cards,other room,0
hairbrush,kitchen,0
bookcase,no label,0
cushion,bar,0
mug,toilet,0
board,no label,0
headphones,toilet,0
cushion,workout/gym/exercise,0
phone,workout/gym/exercise,0
curtain,bar,0
board,office,0
tv remote,bathroom,0
hairbrush,bathroom,0
wristwatch,workout/gym/exercise,0
bed,no label,0
toothbrush,kitchen,0
dumbells,bathroom,0
playing cards,lounge,0
bed,office,0
tv remote,office,0
playing cards,bedroom,0
hairbrush,office,0
headphones,hallway,0
armchair,other room,0
towel,other room,0
jumprope,bedroom,0
water bottle,no label,0
headphones,stairs,0
toothbrush,bathroom,0
mug,living room,0
jumprope,kitchen,0
jumprope,closet,0
water bottle,office,0
headphones,living room,0
wristwatch,lounge,0
books,dining room,0
phone,dining room,0
mug,bar,0
water bottle,familyroom,0
phone,closet,0
sink,toilet,0
tv remote,other room,0
toothbrush,office,0
board,workout/gym/exercise,0
mug,workout/gym/exercise,0
sink,familyroom,0
jumprope,bathroom,0
toothbrush,familyroom,0
clothes,office,0
toilet,familyroom,0
appliance,bathroom,0
books,toilet,0
bathtub,dining room,0
cushion,toilet,0
hairbrush,bar,0
water bottle,bar,0
playing cards,toilet,0
sink,stairs,0
headphones,bedroom,0
hairbrush,workout/gym/exercise,0
water bottle,workout/gym/exercise,0
sink,living room,0
wristwatch,toilet,0
toilet,no label,0
wristwatch,other room,0
mug,kitchen,0
dresser,workout/gym/exercise,0
mug,closet,0
sofa,toilet,0
bathtub,familyroom,0
playing cards,living room,0
sink,workout/gym/exercise,0
books,living room,0
jumprope,other room,0
mug,bathroom,0
cushion,other room,0
phone,other room,0
headphones,bathroom,0
jumprope,bar,0
wallet,bathroom,0
curtain,office,0
bookcase,toilet,0
hairbrush,dining room,0
playing cards,hallway,0
books,stairs,0
bathtub,no label,0
curtain,familyroom,0
jumprope,workout/gym/exercise,0
wallet,office,0
tv remote,kitchen,0
wristwatch,stairs,0
toilet,workout/gym/exercise,0
wallet,familyroom,0
armchair,toilet,0
bed,toilet,0
sink,dining room,0
towel,no label,0
dumbells,kitchen,0
dumbells,closet,0
tv remote,familyroom,0
sofa,workout/gym/exercise,0
refrigerator,workout/gym/exercise,0
hairbrush,familyroom,0
water bottle,toilet,0
wristwatch,bedroom,0
mug,other room,0
phone,kitchen,0
headphones,other room,0
wristwatch,closet,0
tv remote,no label,0
curtain,workout/gym/exercise,0
appliance,dining room,0
hairbrush,no label,0
phone,lounge,0
cushion,bathroom,0
phone,bathroom,0
mirror,familyroom,0
phone,bedroom,0
mug,stairs,0
mug,hallway,0
cabinet,no label,0
dumbells,familyroom,0
television,office,0
dumbells,office,0
counter,no label,0
dumbells,no label,0
playing cards,office,0
toothbrush,no label,0
water bottle,hallway,0
water bottle,stairs,0
tv remote,bar,0
clothes,no label,0
clothes,familyroom,0
jumprope,no label,0
bed,workout/gym/exercise,0
refrigerator,familyroom,0
dumbells,bar,0
jumprope,office,0
mug,lounge,0
tv remote,workout/gym/exercise,0
mug,bedroom,0
dumbells,workout/gym/exercise,0
curtain,toilet,0
headphones,kitchen,0
toothbrush,bar,0
counter,workout/gym/exercise,0
phone,bar,0
headphones,closet,0
toilet,other room,0
board,dining room,0
toothbrush,workout/gym/exercise,0
