Object,Room,Answer
curtain,no label,1
window,no label,1
towel,lounge,1
bathtub,no label,1
nightstand,lounge,1
chair,hallway,1
board,no label,1
armchair,spa/sauna,1
board,spa/sauna,1
television,lounge,1
books,lounge,1
bookcase,hallway,1
desk,spa/sauna,1
picture,no label,1
counter,no label,1
bed,hallway,1
window,lounge,1
armchair,hallway,1
nightstand,hallway,1
plant,spa/sauna,1
television,spa/sauna,1
dresser,hallway,1
books,hallway,1
books,entryway/foyer/lobby,1
refrigerator,no label,1
whiteboard,hallway,1
table,spa/sauna,1
dresser,lounge,1
window,hallway,1
sofa,hallway,1
cushion,hallway,1
towel,no label,1
curtain,hallway,1
bookcase,entryway/foyer/lobby,1
towel,spa/sauna,1
table,hallway,1
nightstand,spa/sauna,1
toilet,lounge,1
dresser,spa/sauna,1
cushion,lounge,1
plant,no label,1
desk,no label,1
cabinet,no label,1
chair,lounge,1
books,spa/sauna,1
dresser,entryway/foyer/lobby,1
bathtub,lounge,1
mirror,no label,1
clothes,no label,1
picture,hallway,1
window,spa/sauna,1
board,lounge,1
bookcase,lounge,1
cushion,spa/sauna,1
toilet,hallway,1
sofa,entryway/foyer/lobby,1
chair,spa/sauna,1
bed,lounge,1
whiteboard,entryway/foyer/lobby,1
picture,lounge,1
window,entryway/foyer/lobby,1
counter,lounge,1
sink,lounge,1
bathtub,hallway,1
bookcase,spa/sauna,1
mirror,lounge,1
board,hallway,1
board,entryway/foyer/lobby,1
bed,spa/sauna,1
nightstand,no label,1
appliance,lounge,1
sofa,lounge,1
refrigerator,lounge,1
sink,no label,1
sink,spa/sauna,1
whiteboard,lounge,1
toilet,spa/sauna,1
picture,entryway/foyer/lobby,1
counter,hallway,1
curtain,lounge,1
whiteboard,no label,1
mirror,hallway,1
plant,hallway,1
whiteboard,spa/sauna,1
television,hallway,1
television,entryway/foyer/lobby,1
appliance,spa/sauna,1
bathtub,spa/sauna,1
sofa,spa/sauna,1
appliance,entryway/foyer/lobby,1
cabinet,lounge,1
clothes,hallway,1
bookcase,no label,1
refrigerator,hallway,1
refrigerator,entryway/foyer/lobby,1
curtain,spa/sauna,1
table,no label,1
plant,lounge,1
desk,lounge,1
bed,no label,1
cabinet,spa/sauna,1
clothes,lounge,1
towel,hallway,1
counter,spa/sauna,1
dresser,no label,1
mirror,spa/sauna,1
picture,spa/sauna,1
plant,entryway/foyer/lobby,1
table,lounge,1
desk,hallway,1
cabinet,hallway,1
cabinet,entryway/foyer/lobby,1
toilet,no label,1
clothes,spa/sauna,1
sofa,no label,1
refrigerator,spa/sauna,1
armchair,lounge,1
cushion,no label,1
mirror,entryway/foyer/lobby,1
