Object,Room,Answer
refrigerator,dining room,0
board,bedroom,0
bathtub,bedroom,0
plant,hallway,0
dumbells,hallway,0
wallet,dining room,0
bookcase,bedroom,0
toothbrush,hallway,0
toilet,entryway/foyer/lobby,0
clothes,hallway,0
tv remote,lounge,0
refrigerator,hallway,0
tv remote,bedroom,0
plant,lounge,0
dumbells,lounge,0
appliance,hallway,0
dumbells,bedroom,0
toothbrush,lounge,0
plant,dining room,0
toothbrush,bedroom,0
dumbells,dining room,0
clothes,bedroom,0
refrigerator,bedroom,0
wristwatch,dining room,0
whiteboard,bedroom,0
wallet,hallway,0
tv remote,hallway,0
tv remote,entryway/foyer/lobby,0
hairbrush,hallway,0
hairbrush,entryway/foyer/lobby,0
plant,entryway/foyer/lobby,0
dumbells,entryway/foyer/lobby,0
counter,entryway/foyer/lobby,0
mug,dining room,0
toothbrush,entryway/foyer/lobby,0
headphones,lounge,0
wallet,lounge,0
wallet,bedroom,0
jumprope,hallway,0
jumprope,entryway/foyer/lobby,0
phone,hallway,0
headphones,dining room,0
cabinet,bedroom,0
counter,bedroom,0
mirror,bedroom,0
playing cards,lounge,0
playing cards,bedroom,0
headphones,hallway,0
headphones,entryway/foyer/lobby,0
jumprope,bedroom,0
wallet,entryway/foyer/lobby,0
wristwatch,lounge,0
playing cards,dining room,0
books,dining room,0
phone,dining room,0
window,dining room,0
sink,hallway,0
headphones,bedroom,0
phone,entryway/foyer/lobby,0
playing cards,hallway,0
hairbrush,dining room,0
chair,entryway/foyer/lobby,0
sink,dining room,0
wristwatch,bedroom,0
armchair,entryway/foyer/lobby,0
appliance,dining room,0
phone,lounge,0
mug,hallway,0
mug,entryway/foyer/lobby,0
phone,bedroom,0
water bottle,hallway,0
mug,lounge,0
mug,bedroom,0
playing cards,entryway/foyer/lobby,0
books,entryway/foyer/lobby,0
cushion,entryway/foyer/lobby,0
wristwatch,hallway,0
hairbrush,lounge,0
water bottle,lounge,0
wristwatch,entryway/foyer/lobby,0
hairbrush,bedroom,0
water bottle,bedroom,0
tv remote,dining room,0
dresser,bedroom,0
sink,lounge,0
water bottle,dining room,0
sink,bedroom,0
counter,dining room,0
toothbrush,dining room,0
jumprope,lounge,0
board,entryway/foyer/lobby,0
clothes,dining room,0
appliance,lounge,0
appliance,bedroom,0
toilet,bedroom,0
jumprope,dining room,0
water bottle,entryway/foyer/lobby,0
