Object,Room,Answer
hairbrush,living room,0
water bottle,living room,0
wristwatch,bathroom,0
armchair,laundryroom,0
towel,utilityroom,0
jumprope,toilet,0
headphones,laundryroom,0
wallet,garage,0
tv remote,stairs,0
phone,office,0
wristwatch,office,0
hairbrush,stairs,0
mug,laundryroom,0
dumbells,hallway,0
television,stairs,0
dumbells,stairs,0
wallet,dining room,0
counter,stairs,0
tv remote,utilityroom,0
nightstand,laundryroom,0
toothbrush,hallway,0
toothbrush,stairs,0
jumprope,living room,0
plant,utilityroom,0
dumbells,utilityroom,0
tv remote,garage,0
hairbrush,closet,0
toothbrush,living room,0
appliance,living room,0
water bottle,kitchen,0
tv remote,lounge,0
playing cards,workout/gym/exercise,0
hairbrush,garage,0
jumprope,stairs,0
mug,office,0
cushion,utilityroom,0
phone,utilityroom,0
tv remote,bedroom,0
plant,laundryroom,0
dumbells,lounge,0
dumbells,laundryroom,0
dumbells,bedroom,0
playing cards,laundryroom,0
water bottle,bathroom,0
toothbrush,lounge,0
water bottle,closet,0
phone,laundryroom,0
toothbrush,bedroom,0
dumbells,dining room,0
headphones,office,0
wristwatch,laundryroom,0
television,garage,0
toothbrush,closet,0
window,laundryroom,0
appliance,closet,0
jumprope,garage,0
tv remote,toilet,0
wristwatch,dining room,0
sink,office,0
clothes,closet,0
plant,toilet,0
toilet,kitchen,0
mug,utilityroom,0
dumbells,toilet,0
headphones,utilityroom,0
wallet,hallway,0
counter,toilet,0
wallet,stairs,0
tv remote,hallway,0
toothbrush,toilet,0
hairbrush,hallway,0
phone,toilet,0
tv remote,living room,0
armchair,garage,0
wallet,kitchen,0
dumbells,living room,0
mug,dining room,0
headphones,lounge,0
wallet,lounge,0
wallet,bedroom,0
wristwatch,living room,0
jumprope,hallway,0
wallet,closet,0
bathtub,office,0
playing cards,stairs,0
phone,hallway,0
headphones,dining room,0
tv remote,closet,0
phone,stairs,0
phone,living room,0
toilet,utilityroom,0
hairbrush,kitchen,0
playing cards,utilityroom,0
books,utilityroom,0
mug,toilet,0
sink,laundryroom,0
sofa,utilityroom,0
plant,garage,0
dumbells,garage,0
phone,workout/gym/exercise,0
headphones,toilet,0
tv remote,bathroom,0
wristwatch,workout/gym/exercise,0
hairbrush,bathroom,0
toilet,laundryroom,0
wristwatch,utilityroom,0
toothbrush,kitchen,0
dumbells,bathroom,0
playing cards,lounge,0
cushion,garage,0
cushion,laundryroom,0
phone,garage,0
bathtub,utilityroom,0
hairbrush,office,0
tv remote,office,0
television,closet,0
headphones,hallway,0
jumprope,bedroom,0
headphones,stairs,0
wristwatch,garage,0
whiteboard,laundryroom,0
toothbrush,bathroom,0
mug,living room,0
jumprope,kitchen,0
jumprope,closet,0
water bottle,office,0
headphones,living room,0
wristwatch,lounge,0
playing cards,dining room,0
phone,dining room,0
phone,closet,0
bathtub,laundryroom,0
toothbrush,office,0
sofa,laundryroom,0
mug,workout/gym/exercise,0
jumprope,bathroom,0
clothes,office,0
refrigerator,closet,0
playing cards,toilet,0
books,toilet,0
bathtub,dining room,0
cushion,toilet,0
bed,utilityroom,0
mug,garage,0
sink,stairs,0
table,garage,0
headphones,bedroom,0
hairbrush,workout/gym/exercise,0
water bottle,workout/gym/exercise,0
wristwatch,toilet,0
water bottle,utilityroom,0
mug,kitchen,0
toilet,living room,0
bed,laundryroom,0
mug,closet,0
sink,utilityroom,0
sofa,toilet,0
hairbrush,laundryroom,0
headphones,garage,0
playing cards,living room,0
armchair,closet,0
mug,bathroom,0
water bottle,laundryroom,0
headphones,bathroom,0
clothes,utilityroom,0
wallet,bathroom,0
playing cards,hallway,0
bookcase,toilet,0
hairbrush,dining room,0
jumprope,workout/gym/exercise,0
playing cards,bedroom,0
wallet,office,0
tv remote,kitchen,0
cushion,stairs,0
appliance,workout/gym/exercise,0
wristwatch,stairs,0
armchair,toilet,0
sink,dining room,0
dumbells,kitchen,0
plant,closet,0
dumbells,closet,0
curtain,stairs,0
toothbrush,laundryroom,0
window,stairs,0
water bottle,toilet,0
wristwatch,bedroom,0
cushion,kitchen,0
phone,kitchen,0
playing cards,garage,0
wristwatch,closet,0
refrigerator,laundryroom,0
clothes,kitchen,0
toilet,dining room,0
board,utilityroom,0
phone,lounge,0
chair,garage,0
mug,hallway,0
phone,bathroom,0
phone,bedroom,0
mug,stairs,0
wallet,utilityroom,0
dumbells,office,0
curtain,laundryroom,0
playing cards,office,0
bed,stairs,0
wallet,laundryroom,0
water bottle,hallway,0
water bottle,stairs,0
tv remote,workout/gym/exercise,0
jumprope,office,0
board,laundryroom,0
bathtub,closet,0
mug,lounge,0
mug,bedroom,0
hairbrush,utilityroom,0
dumbells,workout/gym/exercise,0
curtain,toilet,0
bed,garage,0
television,utilityroom,0
headphones,kitchen,0
tv remote,laundryroom,0
counter,workout/gym/exercise,0
headphones,closet,0
toothbrush,workout/gym/exercise,0
wallet,toilet,0
wristwatch,hallway,0
hairbrush,lounge,0
water bottle,garage,0
toothbrush,utilityroom,0
water bottle,lounge,0
hairbrush,bedroom,0
water bottle,bedroom,0
tv remote,dining room,0
sink,garage,0
toothbrush,garage,0
toilet,stairs,0
board,toilet,0
jumprope,utilityroom,0
water bottle,dining room,0
clothes,garage,0
clothes,laundryroom,0
refrigerator,stairs,0
appliance,utilityroom,0
television,laundryroom,0
toothbrush,dining room,0
picture,laundryroom,0
jumprope,lounge,0
jumprope,laundryroom,0
cabinet,toilet,0
board,stairs,0
