Object,Room,Answer
tv remote,stairs,0
bookcase,kitchen,0
cabinet,workout/gym/exercise,0
hairbrush,stairs,0
plant,hallway,0
television,hallway,0
dumbells,hallway,0
plant,stairs,0
television,stairs,0
dumbells,stairs,0
counter,stairs,0
bookcase,lounge,0
toothbrush,hallway,0
toothbrush,stairs,0
toilet,hallway,0
clothes,hallway,0
playing cards,workout/gym/exercise,0
water bottle,kitchen,0
tv remote,lounge,0
books,workout/gym/exercise,0
jumprope,stairs,0
dumbells,lounge,0
toothbrush,lounge,0
clothes,lounge,0
toilet,kitchen,0
wallet,hallway,0
wallet,stairs,0
tv remote,hallway,0
hairbrush,hallway,0
cabinet,stairs,0
wallet,kitchen,0
nightstand,workout/gym/exercise,0
mirror,hallway,0
headphones,lounge,0
wallet,lounge,0
board,kitchen,0
jumprope,hallway,0
playing cards,stairs,0
phone,hallway,0
phone,stairs,0
hairbrush,kitchen,0
chair,stairs,0
cushion,workout/gym/exercise,0
phone,workout/gym/exercise,0
wristwatch,workout/gym/exercise,0
toothbrush,kitchen,0
playing cards,lounge,0
books,lounge,0
window,workout/gym/exercise,0
headphones,hallway,0
headphones,stairs,0
table,stairs,0
jumprope,kitchen,0
wristwatch,lounge,0
armchair,hallway,0
armchair,stairs,0
mug,workout/gym/exercise,0
nightstand,stairs,0
hairbrush,workout/gym/exercise,0
water bottle,workout/gym/exercise,0
mug,kitchen,0
playing cards,hallway,0
books,stairs,0
nightstand,lounge,0
jumprope,workout/gym/exercise,0
cushion,hallway,0
tv remote,kitchen,0
cushion,stairs,0
appliance,workout/gym/exercise,0
wristwatch,stairs,0
dumbells,kitchen,0
refrigerator,workout/gym/exercise,0
phone,kitchen,0
bookcase,stairs,0
clothes,kitchen,0
phone,lounge,0
mug,hallway,0
mug,stairs,0
bed,hallway,0
window,lounge,0
bed,stairs,0
water bottle,hallway,0
water bottle,stairs,0
tv remote,workout/gym/exercise,0
mug,lounge,0
plant,workout/gym/exercise,0
armchair,kitchen,0
dumbells,workout/gym/exercise,0
headphones,kitchen,0
counter,workout/gym/exercise,0
toothbrush,workout/gym/exercise,0
wristwatch,hallway,0
hairbrush,lounge,0
water bottle,lounge,0
clothes,workout/gym/exercise,0
window,hallway,0
toilet,stairs,0
jumprope,lounge,0
board,stairs,0
playing cards,kitchen,0
books,kitchen,0
whiteboard,kitchen,0
wristwatch,kitchen,0
headphones,workout/gym/exercise,0
wallet,workout/gym/exercise,0
window,kitchen,0
