Object,Room,Answer
towel,bathroom,1
dresser,dining room,1
chair,living room,1
picture,kitchen,1
books,lounge,1
bookcase,hallway,1
counter,bathroom,1
bookcase,stairs,1
board,bar,1
picture,familyroom,1
dresser,living room,1
whiteboard,dining room,1
dresser,other room,1
chair,dining room,1
bookcase,workout/gym/exercise,1
bed,living room,1
toilet,toilet,1
bathtub,toilet,1
refrigerator,no label,1
nightstand,bedroom,1
bed,dining room,1
window,hallway,1
sofa,living room,1
counter,dining room,1
towel,office,1
toilet,lounge,1
bed,other room,1
bathtub,lounge,1
chair,closet,1
plant,bar,1
desk,bar,1
bookcase,bathroom,1
plant,workout/gym/exercise,1
armchair,kitchen,1
whiteboard,other room,1
dresser,closet,1
bed,closet,1
picture,bedroom,1
armchair,familyroom,1
sink,bedroom,1
mirror,lounge,1
board,hallway,1
board,stairs,1
appliance,bedroom,1
whiteboard,kitchen,1
whiteboard,closet,1
books,familyroom,1
refrigerator,lounge,1
mirror,toilet,1
whiteboard,lounge,1
nightstand,bar,1
curtain,bedroom,1
counter,living room,1
plant,hallway,1
plant,stairs,1
desk,stairs,1
refrigerator,toilet,1
bed,kitchen,1
cabinet,lounge,1
mirror,stairs,1
board,bathroom,1
sofa,bar,1
counter,closet,1
bookcase,office,1
towel,toilet,1
clothes,bedroom,1
dresser,familyroom,1
refrigerator,kitchen,1
toilet,bathroom,1
table,lounge,1
desk,hallway,1
cabinet,hallway,1
cabinet,stairs,1
armchair,bedroom,1
towel,kitchen,1
chair,familyroom,1
towel,lounge,1
table,toilet,1
counter,kitchen,1
plant,bathroom,1
television,bedroom,1
desk,bathroom,1
cabinet,bathroom,1
bed,familyroom,1
toilet,dining room,1
table,stairs,1
desk,office,1
mirror,bathroom,1
window,lounge,1
nightstand,hallway,1
mirror,office,1
nightstand,stairs,1
sink,hallway,1
picture,bar,1
whiteboard,familyroom,1
picture,workout/gym/exercise,1
toilet,living room,1
window,toilet,1
television,bar,1
dresser,bedroom,1
appliance,bar,1
bathtub,living room,1
appliance,workout/gym/exercise,1
bathtub,other room,1
nightstand,bathroom,1
curtain,hallway,1
curtain,stairs,1
mirror,dining room,1
table,hallway,1
window,stairs,1
cabinet,office,1
nightstand,office,1
sink,bathroom,1
counter,familyroom,1
cushion,bedroom,1
plant,no label,1
desk,no label,1
plant,office,1
cabinet,living room,1
chair,bedroom,1
mirror,no label,1
picture,hallway,1
picture,stairs,1
board,lounge,1
table,bathroom,1
cabinet,dining room,1
bed,bedroom,1
clothes,bar,1
appliance,hallway,1
appliance,stairs,1
towel,familyroom,1
books,kitchen,1
books,closet,1
whiteboard,bedroom,1
armchair,bar,1
sofa,bedroom,1
bathtub,closet,1
mirror,other room,1
refrigerator,dining room,1
curtain,bathroom,1
window,bathroom,1
television,hallway,1
television,stairs,1
board,kitchen,1
mirror,living room,1
window,office,1
board,closet,1
towel,dining room,1
television,workout/gym/exercise,1
clothes,hallway,1
counter,bedroom,1
whiteboard,bar,1
cabinet,closet,1
chair,bar,1
table,no label,1
plant,lounge,1
table,office,1
desk,lounge,1
refrigerator,living room,1
mirror,closet,1
picture,bathroom,1
television,bathroom,1
towel,living room,1
toilet,kitchen,1
desk,toilet,1
bed,bar,1
window,dining room,1
appliance,office,1
dresser,bar,1
counter,other room,1
window,living room,1
nightstand,lounge,1
refrigerator,other room,1
chair,hallway,1
chair,stairs,1
plant,kitchen,1
plant,closet,1
table,living room,1
chair,workout/gym/exercise,1
mirror,kitchen,1
nightstand,toilet,1
bookcase,living room,1
